path,artifact_identifier,identifier_basis,family,format,provenance,git_state,authority_status,maturity_status,lineage_parent,duplicate_group,encoding_condition,proposed_disposition,sha256,size_bytes
.DS_Store,PATH:.DS_Store,path_locator_only,repository_control_or_migration,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,binary,exclude_from_semantic_corpus_reversible_cleanup_candidate,20b114ec5cb4f6d609d80e34b50556ee49a6b0b75d906eefb469523a1209f40c,14340
.gitignore,PATH:.gitignore,path_locator_only,repository_control_or_migration,no_extension,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,sha256:f84e61240b587987,utf8,preserve_in_place_pending_later_semantic_disposition,f84e61240b587987ca93d17ee14e90aba95800ee8204260f2b0255e8cc157e7e,423
.idea/.gitignore,PATH:.idea/.gitignore,path_locator_only,.idea,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,sha256:0a5548b173aac0ef,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,0a5548b173aac0ef943bbb3af850d676f7b651ddedb9f8d7f06735bc2809b3db,176
.idea/SymK.iml,PATH:.idea/SymK.iml,path_locator_only,.idea,iml,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,sha256:a7c389405d9f860c,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,a7c389405d9f860c75686c29de05f6e836ab433f77054c81f6598c23909d36dd,653
.idea/inspectionProfiles/profiles_settings.xml,PATH:.idea/inspectionProfiles/profiles_settings.xml,path_locator_only,.idea,xml,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,sha256:6172c5997eeb3cd1,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,6172c5997eeb3cd19c9ca2b5b97d6e2983cdd1fa60b2460d7bbb74055edcaa46,174
.idea/misc.xml,PATH:.idea/misc.xml,path_locator_only,.idea,xml,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,sha256:22afd100c8c4558f,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,22afd100c8c4558f4fbbfe2e9f28e4ea05bd5e8f8ec1b8773d680e0e5d84876b,720
.idea/modules.xml,PATH:.idea/modules.xml,path_locator_only,.idea,xml,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,sha256:5f5f4b725f253660,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,5f5f4b725f253660d70837a546bc26ce071dbebdeea0709ddbdd6b7e72af68a9,260
.idea/vcs.xml,PATH:.idea/vcs.xml,path_locator_only,.idea,xml,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,sha256:55768f1f84fb117f,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,55768f1f84fb117f1d0fc383e180b5d0aa5e5e6584c8c4a2995c15b4237f0972,180
.idea/workspace.xml,PATH:.idea/workspace.xml,path_locator_only,.idea,xml,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,utf8,exclude_from_semantic_corpus_reversible_cleanup_candidate,562152cf9a90937072c8488214a2aab65dd9168d5044fa45498314208533e68a,10363
00_GOVERNANCE.zip,PATH:00_GOVERNANCE.zip,path_locator_only,repository_control_or_migration,zip,archive_container:ignored,ignored,none_archive_container,archive_classified_separately,unresolved,unique,binary,retain_under_archive_classification_no_live_authority,26d0dc6c6ffc729049067c6d4fb7571ecc1f374a91672f4152c049f73d4cd50b,61511
00_GOVERNANCE/.DS_Store,PATH:00_GOVERNANCE/.DS_Store,path_locator_only,governance/root,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,binary,exclude_from_semantic_corpus_reversible_cleanup_candidate,c5e10452ae481d4db1f741b967f97211b84d1fc7254c4a71792a90bccf145758,8196
00_GOVERNANCE/01_Product_Vision/.DS_Store,PATH:00_GOVERNANCE/01_Product_Vision/.DS_Store,path_locator_only,governance/01_Product_Vision,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,binary,exclude_from_semantic_corpus_reversible_cleanup_candidate,80dd62570b5562d7c0862c8b8cdc6fe9fcac3f103f38016b4051b1b1e0fc0628,6148
00_GOVERNANCE/01_Product_Vision/00_SYMK_PRODUCT_VISION.md,SYMK-2X-DR-008,detected_in_content,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,declared_canonical_claim_requires_registry_verification,declared:Canonical SymK 2.0 Product Vision baseline,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,b3aafc20aeee9ece6faf0b255ff1aafc38a7f987873ddb462e403ddd252b4735,12275
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/.DS_Store,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/.DS_Store,path_locator_only,governance/01_Product_Vision,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,binary,exclude_from_semantic_corpus_reversible_cleanup_candidate,95d038a280474858634b099811b620505df4cb1ab61d2921ea09ad4c51677e4a,6148
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Education_and_Training/SymK_Foundation_Paper_Education_for_Cooperation_v0.1.md,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Education_and_Training/SymK_Foundation_Paper_Education_for_Cooperation_v0.1.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Foundational working paper,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,f49d64bc71af7dfad437abe30f76cc0ef60601b9167fd797d2ce3827476bae7e,37167
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Education_and_Training/SymK_Foundation_Paper_Education_for_Cooperation_v0.1.pdf,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Education_and_Training/SymK_Foundation_Paper_Education_for_Cooperation_v0.1.pdf,path_locator_only,governance/01_Product_Vision,pdf,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,binary,preserve_in_place_pending_later_semantic_disposition,ba21de9e8690239f2b8955062e928b2f1afd2d6a5952ea8cafc76c1289fda39c,124885
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Foundational working paper,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,753ee2bd09007159a717d8bd45dc2a5ce4e5140987b95b8d26a7f2bee110033f,65016
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf,path_locator_only,governance/01_Product_Vision,pdf,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,binary,preserve_in_place_pending_later_semantic_disposition,d174420f1807194990d10a3d8b4cafbdaa90310e9be893fc18ddea96a1c334d3,208251
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Foundational working paper,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,13f5a1c08e03e30e01241fb6274f66c757d393f71d2dce6c2de3fd09a19d45e7,47892
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf,path_locator_only,governance/01_Product_Vision,pdf,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,binary,preserve_in_place_pending_later_semantic_disposition,fe234c0fe09709954f49303cdbab60091483aaa5be42265d30e7a76b3e1f7d45,172640
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge_Engineering/SymK_Foundation_Paper_Knowledge_Engineering_v0.1.md,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge_Engineering/SymK_Foundation_Paper_Knowledge_Engineering_v0.1.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Foundational working paper,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,6ab8ff4376b6c3a41fd1fa3664158b39708a9c3f6a0e500b177ecacd83013f1e,42102
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge_Engineering/SymK_Foundation_Paper_Knowledge_Engineering_v0.1.pdf,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge_Engineering/SymK_Foundation_Paper_Knowledge_Engineering_v0.1.pdf,path_locator_only,governance/01_Product_Vision,pdf,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,binary,preserve_in_place_pending_later_semantic_disposition,34839132af408d8664aa056ca09b38f073b0ef9872fec328fd02141c2d92ee3b,126859
00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/README.md,PATH:00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/README.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,9655080d6fa5005beb455daca6bde11e847cb7fa8c36a48869560827dcb12319,1891
00_GOVERNANCE/01_Product_Vision/02_RESEARCH/README.md,PATH:00_GOVERNANCE/01_Product_Vision/02_RESEARCH/README.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,52914867d0fdb8cf389e792186e3a05568d195d79d3c52ff537b7685a4efe038,421
00_GOVERNANCE/01_Product_Vision/02_RESEARCH/knowledge_definitions_survey.md,PATH:00_GOVERNANCE/01_Product_Vision/02_RESEARCH/knowledge_definitions_survey.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,e23a2e7e8d7c75e88d00b3baec95db3cbc2724cd467fb04a8d749b9f4e675caf,22511
00_GOVERNANCE/01_Product_Vision/03_ORIENTATION/README.md,PATH:00_GOVERNANCE/01_Product_Vision/03_ORIENTATION/README.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,869e80794ea40593bfdb4fa93bca57de18f852cbc87192170bb813d0e4d20d1d,380
00_GOVERNANCE/01_Product_Vision/03_ORIENTATION/SymK_Foundation_A_Newcomers_Guide_v0.1.pdf,PATH:00_GOVERNANCE/01_Product_Vision/03_ORIENTATION/SymK_Foundation_A_Newcomers_Guide_v0.1.pdf,path_locator_only,governance/01_Product_Vision,pdf,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,binary,preserve_in_place_pending_later_semantic_disposition,511515e4e3b7b1a9409624c128a57a2876c38ffa9da5a351572d1d5aaafb4f99,149331
00_GOVERNANCE/01_Product_Vision/README.md,PATH:00_GOVERNANCE/01_Product_Vision/README.md,path_locator_only,governance/01_Product_Vision,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,a218b9619903ae27c99b0ae9f7ee6b6547232c4858d936486404959962b6dfe8,2132
00_GOVERNANCE/02_Axioms/.DS_Store,PATH:00_GOVERNANCE/02_Axioms/.DS_Store,path_locator_only,governance/02_Axioms,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,binary,exclude_from_semantic_corpus_reversible_cleanup_candidate,f66c06d4b762109009dbcd68002ad50c24cad34141b54611f095283c1087b43e,6148
00_GOVERNANCE/02_Axioms/AXIOM_SymK_Is_A_Meta_PLC_Compiler.md,PATH:00_GOVERNANCE/02_Axioms/AXIOM_SymK_Is_A_Meta_PLC_Compiler.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,f7eb4dbc030debfaf3728fb0e9a6534e15fd367c44bb9a6c4536e2eee64688f1,2164
00_GOVERNANCE/02_Axioms/AXIOM_Symbiotic_Cooperation_Roles.md,PATH:00_GOVERNANCE/02_Axioms/AXIOM_Symbiotic_Cooperation_Roles.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,8984d839f133e4fafdaf63fb8a9d4a6fe948d917aea3ac07c466b80ef033cfe6,5407
00_GOVERNANCE/02_Axioms/Constitution_vNext/00A_CONSTITUTIONAL_SOURCES.md,FC-006,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed governed source map,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,06cf96e9654ca8a78d502dfc67a6b981dfa90e51cb7caf8d096ceecbdf352dd8,15312
00_GOVERNANCE/02_Axioms/Constitution_vNext/00B_AXIOM_DOCUMENT_STANDARD.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/00B_AXIOM_DOCUMENT_STANDARD.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed scaffold standard,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,4936f45c3c3b38352462698a7d86c107bacfd4e3a98e72ec7d25a742b4f710ac,4368
00_GOVERNANCE/02_Axioms/Constitution_vNext/00_CONSTITUTION_CANDIDATE.md,SYMK-2X-DR-008,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_program_authority,declared:Proposed Constitution under the Stage-Accepted SymK 2.0 orientation,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,da0095cc097408c7419ad82b5f08cd66fdfb20aea453a5de0e0e93abe5d6f880,7564
00_GOVERNANCE/02_Axioms/Constitution_vNext/01_AXIOM_INDEX.md,SYMK-2X-DR-003,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,1ad34f0097786473f1a8ac66ca750e0b41e171171a56385d60419a42ec3d53ae,2391
00_GOVERNANCE/02_Axioms/Constitution_vNext/02_NORMATIVE_HIERARCHY.md,SYMK-2X-DR-005,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed constitutional governance model,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,cd0871d0bb5843e1caac59cd03d69979ca9abef5dd361f2cd4b7222075968a60,14335
00_GOVERNANCE/02_Axioms/Constitution_vNext/03_CONFLICT_AND_CHALLENGE_PROTOCOL.md,SYMK-2X-DR-005,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed directional baseline,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,ae9277f53f0d9f68805a61d2f031dc5b9457a42b2eaf6975ea15eaa192538805,17026
00_GOVERNANCE/02_Axioms/Constitution_vNext/04_EXISTING_DOCUMENT_DISPOSITION.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/04_EXISTING_DOCUMENT_DISPOSITION.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed audit scaffold,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,5407cedd3f582dccb2c084f4cc2b40699a091a14088728185b0e552ad92d3f32,2924
00_GOVERNANCE/02_Axioms/Constitution_vNext/05_DERIVED_PROJECT_COMPATIBILITY_TEMPLATE.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/05_DERIVED_PROJECT_COMPATIBILITY_TEMPLATE.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,4e2c3fabf2ea0fba78b5c2d5bb31f2efbf645f89182983bed8cb1c5f9702d4f8,1499
00_GOVERNANCE/02_Axioms/Constitution_vNext/06_RATIFICATION_AND_MIGRATION_PLAN.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/06_RATIFICATION_AND_MIGRATION_PLAN.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,aa55cabaed207b56e3325c9ed23e06f47b576bb2e9a9a569e45c3dc26b03876d,2894
00_GOVERNANCE/02_Axioms/Constitution_vNext/CANONICAL_BASELINE.md,DR-001,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,6e9b6657847edf5ec3ec2afcfdb8cbde00a20b2f2a40d3ca5b332899a58a5bcf,2298
00_GOVERNANCE/02_Axioms/Constitution_vNext/README.md,SYMK-2X-DR-008,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,15eff41fa5170571595ba7905e944507b39224d389af2472d67a3182d4e0c82a,4722
00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A0_Cooperative_Purpose.md,SYMK-2X-DR-002,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,a0a33f289581a4b0e7b26effce3d05e3e47a844382104a14e1991421ae17afdb,6585
00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A1_Epistemic_Humility.md,FC-006,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,8abda500b1e023b7304273824256e17f28dcff1293f83609082a2eec2a4c50f4,5414
00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A2_Governed_Role_Allocation.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A2_Governed_Role_Allocation.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,ecce00a5b8ab2054ce8c0afcf33542b74a30249ebaedc79aee5359dd75a40db2,5641
00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A3_Cooperative_Formation.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A3_Cooperative_Formation.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,a8dfbb8ab015c18c49a8a9ad8bc749bbc6b6520e1199c26c2f8668861e47a09d,6007
00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A4_Engineering_Epistemic_Conditions.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A4_Engineering_Epistemic_Conditions.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,5e9e7d88dd834ddb7e4fbd360fd8be937fc03cc3ea585427851b60922be76201,5677
00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A6_Constitutional_Inheritance.md,PATH:00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A6_Constitutional_Inheritance.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,537eca827e7c06bf3cb5756d3ce537728dacd2c6147e23257b242421095ccacf,5897
00_GOVERNANCE/02_Axioms/Constitution_vNext/jurisdiction/J1_Philosophical_and_Engineering_Jurisdiction.md,SYMK-2X-DR-003,detected_in_content,governance/02_Axioms,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed,"A5 — Philosophical Jurisdiction v0.2, formerly located at `axioms/A5_Philosophical_Jurisdiction.md` and preserved through version-control and evolution lineage",unique,utf8,preserve_in_place_pending_later_semantic_disposition,c02c399dee9e712edfb0a2efa125ad8dd0c25e42eea73c0b0a88a5c9a1ec94a1,11083
00_GOVERNANCE/02_Axioms/SymK_Axiom_Pool_Exclusivity.md,PATH:00_GOVERNANCE/02_Axioms/SymK_Axiom_Pool_Exclusivity.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,a74f1f63d044611077926acac6d4dc03d225d8e9b1dd45a656565deb62f57841,881
00_GOVERNANCE/02_Axioms/SymK_Philosophy.md,PATH:00_GOVERNANCE/02_Axioms/SymK_Philosophy.md,path_locator_only,governance/02_Axioms,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,cfd03534ddf2d7931706a9a5186d1deab5a4708c41818bf587194b08c881c371,6753
00_GOVERNANCE/03_Foundational_Principles/.DS_Store,PATH:00_GOVERNANCE/03_Foundational_Principles/.DS_Store,path_locator_only,governance/03_Foundational_Principles,no_extension,local_tool_or_os_metadata:ignored,ignored,none_nonsemantic_metadata,non_corpus_technical,unresolved,unique,binary,exclude_from_semantic_corpus_reversible_cleanup_candidate,723d8eb99a079e1805811fb4c2ea678242619797ef1a870f08dc8aac39123ef1,8196
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-001_Foundational_Engineering_Principles_v0.1.md,PATH:00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-001_Foundational_Engineering_Principles_v0.1.md,path_locator_only,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Working Draft,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,5b8a6eb21c53e11e5a3a46cde4dbea127478f1feff437a5e8186863cc18a5976,2791
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-001_Principles/000_Index.md,PATH:00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-001_Principles/000_Index.md,path_locator_only,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,98d13623445e385d6a55275c922551fcde61317482cd0a1a6327e65756fb6632,26
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-002_Concepts/000_Index.md,FC-001,detected_in_content,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Living Index,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,9e1d17cc54bdebe6300db09466dc60e1df8afa9a8af6d33bb6c6f0743d2e38f9,6601
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-002_Concepts/FC-001_Entity_v0.2.md,FC-001,detected_in_content,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Under Evaluation\,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,c6805ca3c0d0054445bce180bcfbc55f4683df1d1cfcf5b477bfbfc3e9742ec5,5295
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-002_Concepts/FC-002_Relationship_v0.1.md,FC-002,detected_in_content,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,declared:Under Evaluation\,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,4077ca8e692639c6a858142861cb47f11b1dd4c42a6c456fbf8578656f2ee6a2,7187
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-002_Concepts/FC-003_Identity_v0.1.md,FC-003,detected_in_content,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,declared_non_normative,declared:Proposed\,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,b455d79a4a29c0643b23307eed636f894803dc784c12a4cc2d8df64153a57d91,5516
00_GOVERNANCE/03_Foundational_Principles/LB-DRAFT-002_Concepts/FC-004_Context.md,FC-004,detected_in_content,governance/03_Foundational_Principles,md,live_repository_path:tracked,tracked,unverified_no_authority_inferred,not_assessed_at_m0,unresolved,unique,utf8,preserve_in_place_pending_later_semantic_disposition,1dacd0ef0e0750b1b4092dcb46689c120fa0cdba8472072299813728936adf4d,17
